"name","segment","sales","inventory","date","age","mtbf","perf","sz","price","material","labor","margin","ot","aut","capacity","util","awareness","accessibility","score"
,,,,,,,,,,,,,,,,,,,
"Able","Trad",1264,113,"3/19/2022",2.4,18000,5.4,14.7,"$29.97","$10.65","$7.85","36%","0%",6,1500,"79%","84%","68%",37
"Acre","Low",1837,4,"4/19/2022",3.1,14000,2.8,17.3,"$21.49","$6.80","$7.46","32%","30%",8,1400,"129%","82%","51%",14
"Adam","High",535,0,"6/17/2022",1.6,25000,8.6,11.6,"$39.10","$15.95","$8.97","36%","0%",5,600,"83%","79%","64%",28
"Aft","Pfmn",503,70,"4/18/2022",2.1,27000,9,15.5,"$34.39","$15.15","$8.97","28%","0%",3,500,"99%","77%","50%",36
"Agape","Size",452,6,"8/16/2022",2,21000,4.4,10.1,"$33.88","$13.91","$8.97","34%","0%",3,500,"79%","77%","57%",51
"ACE",,0,0,"5/24/2023",0,0,0,0,"$0.00","$0.00","$0.00","0%","0%",2,500,"0%","#N/A","#N/A","#N/A"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",,"#N/A","#N/A","#N/A"
"Baker","Trad",1116,113,"3/10/2022",2.5,17000,5.4,14.5,"$29.50","$10.45","$7.85","36%","0%",5,1600,"65%","67%","58%",33
"Bead","Low",1871,0,"5/25/2017",5.6,14000,3,17,"$21.50","$7.05","$7.50","31%","32%",6,1400,"131%","65%","40%",16
"Bid","High",289,98,"12/25/2022",1.4,23500,9.2,10.8,"$39.50","$16.22","$8.97","36%","0%",3,450,"77%","62%","51%",31
"Bold","Pfmn",236,89,"8/25/2022",1.9,22500,9.1,14.5,"$34.50","$14.21","$8.97","27%","0%",3,600,"41%","61%","29%",7
"Buddy","Size",230,80,"8/6/2022",2,19000,5.1,11.2,"$34.50","$12.83","$8.97","33%","0%",3,600,"41%","61%","36%",15
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",,"#N/A","#N/A","#N/A"
"Cake","Trad",1460,927,"3/18/2022",2.4,17500,5.7,14.3,"$29.00","$10.85","$8.55","27%","23%",6,1800,"122%","82%","71%",44
"Cedar","Low",2168,0,"5/25/2017",5.6,14000,3,17,"$21.50","$7.05","$7.84","29%","54%",6,1400,"152%","80%","58%",21
"Cid","High",464,141,"8/16/2022",1.5,24000,9,11.7,"$39.50","$15.81","$8.97","35%","0%",4,900,"63%","77%","63%",27
"Coat","Pfmn",465,276,"5/29/2022",2,27000,10,15.3,"$34.50","$15.87","$9.42","22%","12%",5,600,"111%","74%","46%",41
"Cure","Size",430,207,"8/27/2022",2,21000,4.5,10.1,"$34.50","$13.94","$8.97","31%","0%",4,600,"96%","74%","56%",49
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",,"#N/A","#N/A","#N/A"
"Daze","Trad",1238,315,"3/17/2022",2.4,17500,5.7,14.3,"$29.50","$10.85","$7.86","33%","0%",6,1400,"98%","65%","69%",37
"Dell","Low",2115,0,"5/25/2017",5.6,14000,3,17,"$21.00","$7.05","$7.79","28%","50%",7,1600,"148%","65%","52%",20
"Duck","High",496,14,"5/15/2022",1.7,23000,8.6,11.6,"$39.50","$15.35","$8.98","38%","0%",4,575,"82%","77%","62%",21
"Dot","Pfmn",433,60,"5/20/2022",2.1,27000,10,15.5,"$34.50","$15.81","$8.98","27%","0%",3.5,500,"83%","69%","45%",39
"Dune","Size",409,0,"6/2/2022",2.1,19000,4.4,10.3,"$34.50","$13.18","$8.98","35%","0%",3.5,400,"87%","69%","53%",34
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",,"#N/A","#N/A","#N/A"
"Eat","Trad",1476,0,"3/24/2022",2.4,19000,5.5,14.6,"$28.00","$11.05","$7.85","31%","0%",4,1900,"72%","77%","71%",50
"Ebb","Low",485,1623,"6/17/2022",3.1,14000,2.5,17.5,"$28.00","$6.54","$7.78","26%","49%",5,1700,"148%","75%","32%",2
"Echo","High",565,92,"9/19/2022",1.5,23000,8.9,11.1,"$34.00","$15.76","$8.97","26%","0%",6,900,"68%","73%","65%",36
"Edge","Pfmn",410,172,"2/18/2022",2.2,25000,9.5,15.5,"$34.50","$14.88","$8.97","26%","0%",3,700,"84%","71%","53%",27
"Egg","Size",529,31,"2/18/2022",2.2,19000,4.1,11,"$31.00","$12.63","$8.97","28%","0%",3,701,"83%","71%","60%",24
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",,"#N/A","#N/A","#N/A"
"Fast","Trad",1168,1298,"5/8/2022",2.4,14000,5.7,14.3,"$28.00","$9.80","$8.66","23%","28%",5.7,1800,"127%","82%","67%",39
"Feat","Low",2019,0,"10/26/2022",2.9,12000,2.2,17.8,"$20.00","$5.64","$7.68","27%","43%",8.4,1400,"141%","80%","49%",18
"Fist","High",320,215,"8/27/2023",2.7,23000,8,12,"$38.00","$14.84","$8.97","31%","0%",3.9,500,"99%","77%","61%",10
"Foam","Pfmn",447,176,"8/24/2022",1.9,27000,10.4,15.3,"$33.00","$16.13","$8.97","22%","0%",3.9,600,"91%","75%","48%",46
"Fume","Size",255,402,"1/13/2023",3.6,19000,4,11,"$33.00","$12.60","$8.97","21%","0%",3.9,600,"99%","75%","55%",10
